question_id,question,question_type,target_company,target_stock_code,target_year,reference_answer,evidence_pages,evidence_text,difficulty
BYD2025_Q01,比亚迪2025年的营业收入是多少？,financial_fact,比亚迪股份有限公司,002594,2025,803964958000元,11,营业收入（元）803964958000.00,easy
BYD2025_Q02,比亚迪2025年归母净利润同比变化如何？,financial_fact,比亚迪股份有限公司,002594,2025,归母净利润32619022000元同比下降18.97%,11,归属于上市公司股东的净利润（元）32619022000.00同比-18.97%,medium
BYD2025_Q03,公司2025年度拟如何向股东分红？,governance_fact,比亚迪股份有限公司,002594,2025,每10股派发现金红利3.58元含税不送红股且不以公积金转增股本,5,向全体股东每10股派发现金红利3.58元（含税）送红股0股不以公积金转增股本,medium
BYD2025_Q04,比亚迪2025年汽车出海规模有什么突破？,business_fact,比亚迪股份有限公司,002594,2025,汽车全年出口量首次突破100万辆同比增长1.4倍,2,比亚迪汽车全年出口量首次突破百万同比增长1.4倍,medium
BYD2025_Q05,公司2025年投入了多少研发资金，占营收比例是多少？,rd_fact,比亚迪股份有限公司,002594,2025,研发投入63441379000元占营业收入7.89%,39,研发投入金额（元）63441379000.00研发投入占营业收入比例7.89%,medium
BYD2025_Q06,比亚迪有多少研发人员，研发人员占员工比例多少？,rd_fact,比亚迪股份有限公司,002594,2025,研发人员127665人占比14.68%,39,研发人员数量（人）127665研发人员数量占比14.68%,medium
BYD2025_Q07,前五大客户贡献了多少销售额，占年度销售额比例多少？,customer_fact,比亚迪股份有限公司,002594,2025,前五名客户销售额145648095000元占年度销售总额18.12%,31,前五名客户合计销售金额（元）145648095000.00占年度销售总额比例18.12%,hard
BYD2025_Q08,比亚迪2025年境外收入是多少，占总收入多少？,business_fact,比亚迪股份有限公司,002594,2025,境外收入310740988000元占营业收入38.65%,29|252,境外310740988000.00占比38.65%,hard
BYD2025_Q09,公司2025年末一共有多少名在职员工？,workforce_fact,比亚迪股份有限公司,002594,2025,报告期末在职员工869622人,69,报告期末在职员工的数量合计（人）869622,easy
BYD2025_Q10,审计机构对比亚迪2025年财务报表出具了什么意见？,audit_fact,比亚迪股份有限公司,002594,2025,标准无保留意见,117,审计意见类型标准的无保留意见,medium
BYD2025_Q11,比亚迪2025年末存货余额是多少？,balance_sheet_fact,比亚迪股份有限公司,002594,2025,存货138420580000元,41|123,存货138420580000.00,medium
BYD2025_Q12,汽车相关业务和手机部件业务分别贡献了多少收入？,segment_fact,比亚迪股份有限公司,002594,2025,汽车相关业务收入约648646百万元手机部件业务收入约155237百万元,16,汽车、汽车相关产品及其他产品业务收入约人民币648646百万元手机部件、组装及其他产品业务收入约人民币155237百万元,hard
BYD2025_Q13,2025年与日常活动相关的政府补助金额是多少？,financial_note_fact,比亚迪股份有限公司,002594,2025,12468373000元,213,与日常活动相关的政府补助12468373千元,hard
BYD2025_Q14,公司为子公司实际提供的担保金额是多少？,contingency_fact,比亚迪股份有限公司,002594,2025,84864506000元,249,本公司为其子公司实际提供的担保为人民币84864506千元,hard
BYD2025_Q15,2025年经营活动产生的现金流量净额同比下降多少？,cashflow_fact,比亚迪股份有限公司,002594,2025,经营活动现金流量净额59135544000元同比下降55.69%,11|40,经营活动产生的现金流量净额59135544000.00同比-55.69%,hard
