question_id,question,question_type,target_company,target_stock_code,target_year,reference_answer,evidence_pages,evidence_text,difficulty
BYD2023_Q01,比亚迪2023年的营业收入是多少？,financial_fact,比亚迪股份有限公司,002594,2023,602315354000元,11|19|140,营业收入（元）602315354000.00,easy
BYD2023_Q02,比亚迪2023年归母净利润同比变化如何？,financial_fact,比亚迪股份有限公司,002594,2023,归母净利润30040811000元同比增长80.72%,11|140,归属于上市公司股东的净利润（元）30040811000.00同比80.72%,medium
BYD2023_Q03,公司2023年度拟如何向股东分红？,governance_fact,比亚迪股份有限公司,002594,2023,每10股派发现金红利30.96元含税不送红股且不以公积金转增股本,5,向全体股东每10股派发现金红利30.96元（含税）送红股0股不以公积金转增股本,medium
BYD2023_Q04,比亚迪2023年整车销量及同比增幅是多少？,business_fact,比亚迪股份有限公司,002594,2023,整车销量3024417辆同比增长67.79%,18,整车销售量合计3024417辆较上年同期增长67.79%,medium
BYD2023_Q05,公司2023年投入了多少研发资金，占营收比例是多少？,rd_fact,比亚迪股份有限公司,002594,2023,研发投入39917743000元占营业收入6.63%,27,研发投入金额（元）39917743000.00研发投入占营业收入比例6.63%,medium
BYD2023_Q06,比亚迪有多少研发人员，研发人员占员工比例多少？,rd_fact,比亚迪股份有限公司,002594,2023,研发人员102844人占比14.62%,27,研发人员数量（人）102844研发人员数量占比14.62%,medium
BYD2023_Q07,前五大客户贡献了多少销售额，占年度销售额比例多少？,customer_fact,比亚迪股份有限公司,002594,2023,前五名客户销售额104482886000元占年度销售总额17.34%,21|22,前五名客户合计销售金额（元）104482886000.00占年度销售总额比例17.34%,hard
BYD2023_Q08,比亚迪2023年境外收入是多少，占总收入多少？,business_fact,比亚迪股份有限公司,002594,2023,境外收入160221500000元占营业收入26.60%,20,境外收入160221500000.00占营业收入比重26.60%,hard
BYD2023_Q09,公司2023年末一共有多少名在职员工？,workforce_fact,比亚迪股份有限公司,002594,2023,报告期末在职员工703504人,63,报告期末在职员工的数量合计（人）703504,easy
BYD2023_Q10,审计机构对比亚迪2023年财务报表出具了什么意见？,audit_fact,比亚迪股份有限公司,002594,2023,标准无保留意见,132,审计意见类型标准的无保留意见,medium
BYD2023_Q11,比亚迪2023年末合并口径存货账面价值是多少？,balance_sheet_fact,比亚迪股份有限公司,002594,2023,存货账面价值87676748000元,29|138|183,合并口径存货账面价值87676748千元,medium
BYD2023_Q12,汽车相关业务和手机部件业务分别贡献了多少收入？,segment_fact,比亚迪股份有限公司,002594,2023,汽车相关业务收入483453318000元手机部件业务收入118576910000元,3|19|20,汽车、汽车相关产品及其他产品业务收入483453318000.00元手机部件、组装及其他产品业务收入118576910000.00元,hard
BYD2023_Q13,2023年与日常活动相关的政府补助金额是多少？,financial_note_fact,比亚迪股份有限公司,002594,2023,4619187000元,215,与日常活动相关的政府补助4619187千元,hard
BYD2023_Q14,2023年末公司为子公司实际提供的担保金额是多少？,contingency_fact,比亚迪股份有限公司,002594,2023,43872398000元,250,本公司为其子公司实际提供的担保为人民币43872398千元,hard
BYD2023_Q15,2023年经营活动产生的现金流量净额同比增长多少？,cashflow_fact,比亚迪股份有限公司,002594,2023,经营活动现金流量净额169725025000元同比增长20.51%,11|28|144|220,经营活动产生的现金流量净额169725025000.00元同比增长20.51%,hard
